Classifier,Accuracy,Precision,Recall,F1-Score
"Naive Bayes (complement, α=1.0)",0.8609,0.8658,0.8609,0.8578
"Rocchio (α=1.0, β=0.0, metric=cosine)",0.8281,0.8301,0.8281,0.8276
"kNN (k=5, weights=distance)",0.8363,0.8367,0.8363,0.8352
