Classifier,Accuracy,Precision,Recall,F1-Score
"Naive Bayes (complement, α=1.0)",0.7181,0.7252,0.7181,0.6687
"Rocchio (α=1.0, β=0.0, metric=cosine)",0.7354,0.7701,0.7354,0.7445
"kNN (k=5, weights=distance)",0.6913,0.673,0.6913,0.6775
